Title,URL Name,Summary,Question,Content,Visible In Internal App,Visible to Customer,Visible In Public Knowledge Base,Visible to Partner
Devpost,devpost,"Agentforce NOW Workshop: March 20, 2025 / 10am - 12pm EST",What is: Devpost?,"Agentforce NOW Workshop: March 20, 2025 / 10am - 12pm EST",True,True,False,False
Devpost,devpost,"Dive into short, informative how-to videos featuring out-of-the-box Agentforce use cases, features and capabilities.",What is: Devpost?,"Dive into short, informative how-to videos featuring out-of-the-box Agentforce use cases, features and capabilities.",True,True,False,False
Devpost,devpost,Agentforce Decoded for Developers: https://www.youtube.com/playlist?list=PLgIMQe2PKPSIELU1F09KPVyLF-V_N8jem,What is: Devpost?,Agentforce Decoded for Developers: https://www.youtube.com/playlist?list=PLgIMQe2PKPSIELU1F09KPVyLF-V_N8jem,True,True,False,False
Devpost,devpost,Agentforce Decoded for Admins: https://www.youtube.com/playlist?list=PLrC_ei2_Pv0Fb0i4wufGZsVwMyNj5ticI,What is: Devpost?,Agentforce Decoded for Admins: https://www.youtube.com/playlist?list=PLrC_ei2_Pv0Fb0i4wufGZsVwMyNj5ticI,True,True,False,False
Devpost,devpost,Join and get inspired by members of the Agentblazer Community: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,What is: Devpost?,Join and get inspired by members of the Agentblazer Community: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,True,True,False,False
Devpost,devpost,Discover use cases from the NYC Agentforce Hackathon: http://sforce.co/NYCHackUseCases,What is: Devpost?,Discover use cases from the NYC Agentforce Hackathon: http://sforce.co/NYCHackUseCases,True,True,False,False
Devpost,devpost,How Salesforce Shapes Ethical AI Standards in the Agent Era: https://www.salesforce.com/news/stories/responsible-agentic-ai-guidelines/,What is: Devpost?,How Salesforce Shapes Ethical AI Standards in the Agent Era: https://www.salesforce.com/news/stories/responsible-agentic-ai-guidelines/,True,True,False,False
Devpost,devpost,"Trailhead: Salesforce Platform Basics, Platform Development Basics, Get Started with Salesforce Development",What is: Devpost?,"Trailhead: Salesforce Platform Basics, Platform Development Basics, Get Started with Salesforce Development",True,True,False,False
Devpost,devpost,Hackathon Resource Guide: http://sforce.co/VirtualHackathonGuide,What is: Devpost?,Hackathon Resource Guide: http://sforce.co/VirtualHackathonGuide,True,True,False,False
Devpost,devpost,Org Access Form: https://forms.gle/KFVfJncxJzeb4yoZ9,What is: Devpost?,Org Access Form: https://forms.gle/KFVfJncxJzeb4yoZ9,True,True,False,False
Devpost,devpost,Quick Start with Agentforce: https://trailhead.salesforce.com/content/learn/projects/quick-start-build-your-first-agent-with-agentforce,What is: Devpost?,Quick Start with Agentforce: https://trailhead.salesforce.com/content/learn/projects/quick-start-build-your-first-agent-with-agentforce,True,True,False,False
Devpost,devpost,Data Cloud Developer Center: https://developer.salesforce.com/developer-centers/data-cloud,What is: Devpost?,Data Cloud Developer Center: https://developer.salesforce.com/developer-centers/data-cloud,True,True,False,False
Devpost,devpost,RAG in Data Cloud overview: https://help.salesforce.com/s/articleView?id=sf.c360_a_rag_overview.htm,What is: Devpost?,RAG in Data Cloud overview: https://help.salesforce.com/s/articleView?id=sf.c360_a_rag_overview.htm,True,True,False,False
Devpost,devpost,The Coral Cloud Sample App: https://github.com/trailheadapps/coral-cloud,What is: Devpost?,The Coral Cloud Sample App: https://github.com/trailheadapps/coral-cloud,True,True,False,False
Devpost,devpost,Connect your Agentforce Org with Slack: http://sforce.co/CYAOWSvh,What is: Devpost?,Connect your Agentforce Org with Slack: http://sforce.co/CYAOWSvh,True,True,False,False
Devpost,devpost,Join the Agentbuilder Slack Workspace and the Virtual Hackathon channel,What is: Devpost?,Join the Agentbuilder Slack Workspace and the Virtual Hackathon channel,True,True,False,False
Devpost,devpost,Agentblazer Community Group: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,What is: Devpost?,Agentblazer Community Group: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,True,True,False,False
Devpost,devpost,Devpost Discussion Forum: https://agentforcehackathon.devpost.com/forum_topics,What is: Devpost?,Devpost Discussion Forum: https://agentforcehackathon.devpost.com/forum_topics,True,True,False,False
Devpost,devpost,Official Hackathon Rules and Translations: https://agentforcehackathon.devpost.com/rules,What is: Devpost?,Official Hackathon Rules and Translations: https://agentforcehackathon.devpost.com/rules,True,True,False,False
Hackathon Submission,hackathon-submission,"Ensure your submission demonstrates the problem you're solving, the technology applied, and the impact.",What is: Hackathon Submission?,"Ensure your submission demonstrates the problem you're solving, the technology applied, and the impact.",True,True,False,False
Hackathon Submission,hackathon-submission,"Your demo video should clearly showcase your use case, features, and technical approach.",What is: Hackathon Submission?,"Your demo video should clearly showcase your use case, features, and technical approach.",True,True,False,False
Hackathon Submission,hackathon-submission,Use screen recording tools like Quicktime or Camtasia. Avoid watermark tools. Record at 1080p resolution.,What is: Hackathon Submission?,Use screen recording tools like Quicktime or Camtasia. Avoid watermark tools. Record at 1080p resolution.,True,True,False,False
Hackathon Submission,hackathon-submission,Avoid generative AI audio/video tools in your demo. Focus on accessibility and clean presentation.,What is: Hackathon Submission?,Avoid generative AI audio/video tools in your demo. Focus on accessibility and clean presentation.,True,True,False,False
Hackathon Tips,hackathon-tips,"Organize a strong team with defined roles: leader, admin, developer, marketer, designer, analyst.",What is: Hackathon Tips?,"Organize a strong team with defined roles: leader, admin, developer, marketer, designer, analyst.",True,True,False,False
Hackathon Tips,hackathon-tips,"Find a unique, real-world use case. Avoid generic ones like 'order management'.",What is: Hackathon Tips?,"Find a unique, real-world use case. Avoid generic ones like 'order management'.",True,True,False,False
