ArticleTitle,Summary,Body,topic,tag,source
Devpost - Workshop,Agentforce NOW Workshop,"Agentforce NOW Workshop: March 20, 2025 / 10am - 12pm EST. Generative AI is revolutionizing app development, creating the biggest opportunity for developers and admins in decades. Join us for a free intensive virtual workshop to get hands-on with AI agents. Learn directly from Agentforce experts and get your AI and data questions answered. Leave with a better understanding of how to create and customize agents that seamlessly integrate data, AI, and human actions to support your employees and customers.  If you have any technical questions related to the hackathon/your submission, please join the Agentbuilder Slack Workspace! We have two channels: #virtual-agentforce-hackathon and #virtual-agentforce-hackathon-technical-support channel.  Reference: https://developer.salesforce.com/agentforce-workshop/getting-started/overview",Devpost,Workshop,devpost.md
Devpost - Agentforce,"Dive into short, informative how-to videos featuring out-of-the-box Agentforce use cases, features and capabilities.","Dive into short, informative how-to videos featuring out-of-the-box Agentforce use cases, features and capabilities.",Devpost,Agentforce,devpost.md
Devpost - Agentforce,Agentforce Decoded for Developers:,Agentforce Decoded for Developers: https://www.youtube.com/playlist?list=PLgIMQe2PKPSIELU1F09KPVyLF-V_N8jem,Devpost,Agentforce,devpost.md
Devpost - Agentforce,Agentforce Decoded for Admins:,Agentforce Decoded for Admins: https://www.youtube.com/playlist?list=PLrC_ei2_Pv0Fb0i4wufGZsVwMyNj5ticI,Devpost,Agentforce,devpost.md
Devpost - Community,Join and get inspired by members of the Agentblazer Community:,Join and get inspired by members of the Agentblazer Community: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,Devpost,Community,devpost.md
Devpost - Agentforce,Discover use cases from the NYC Agentforce Hackathon:,Discover use cases from the NYC Agentforce Hackathon: http://sforce.co/NYCHackUseCases,Devpost,Agentforce,devpost.md
Devpost - Responsible AI,How Salesforce Shapes Ethical AI Standards in the Agent Era:,How Salesforce Shapes Ethical AI Standards in the Agent Era: https://www.salesforce.com/news/stories/responsible-agentic-ai-guidelines/,Devpost,Responsible AI,devpost.md
Devpost - Resources,"Trailhead: Salesforce Platform Basics, Platform Development Basics, Get Started with Salesforce Development","Trailhead: Salesforce Platform Basics, Platform Development Basics, Get Started with Salesforce Development",Devpost,Resources,devpost.md
Devpost - Resources,Hackathon Resource Guide:,Hackathon Resource Guide: http://sforce.co/VirtualHackathonGuide,Devpost,Resources,devpost.md
Devpost - Admin,Org Access Form:,Org Access Form: https://forms.gle/KFVfJncxJzeb4yoZ9,Devpost,Admin,devpost.md
Devpost - Tutorial,Quick Start with Agentforce:,Quick Start with Agentforce: https://trailhead.salesforce.com/content/learn/projects/quick-start-build-your-first-agent-with-agentforce,Devpost,Tutorial,devpost.md
Devpost - Data Cloud,Data Cloud Developer Center:,Data Cloud Developer Center: https://developer.salesforce.com/developer-centers/data-cloud,Devpost,Data Cloud,devpost.md
Devpost - RAG,RAG in Data Cloud overview:,RAG in Data Cloud overview: https://help.salesforce.com/s/articleView?id=sf.c360_a_rag_overview.htm,Devpost,RAG,devpost.md
Devpost - Architecture,The Coral Cloud Sample App:,The Coral Cloud Sample App: https://github.com/trailheadapps/coral-cloud,Devpost,Architecture,devpost.md
Devpost - Slack Integration,Connect your Agentforce Org with Slack:,Connect your Agentforce Org with Slack: http://sforce.co/CYAOWSvh,Devpost,Slack Integration,devpost.md
Devpost - Community,Join the Agentbuilder Slack Workspace and the Virtual Hackathon channel,Join the Agentbuilder Slack Workspace and the Virtual Hackathon channel:  https://e.customeriomail.com/e/c/eyJlbWFpbF9pZCI6ImRnUUlBUUNQeDJtUHgya0JsYTYyQ1k5TExvSlE2UGZrXzhLMiIsImhyZWYiOiJodHRwczovL2pvaW4uc2xhY2suY29tL3QvYWdlbnRibGF6ZXJjb21tdW5pdHkvc2hhcmVkX2ludml0ZS96dC0yejA4Ym1kYWYtWUFWQXhuRzNkbTdWY2lWVDRFMFpDZyIsImludGVybmFsIjoiMDgzOWRmOTcwMThmYzc2OSJ9/595d5577f8868973b08a30280b079ffd6c57839c3bf12ef55dfd62c09059c8d0,Devpost,Community,devpost.md
Devpost - Community,Agentblazer Community Group:,Agentblazer Community Group: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,Devpost,Community,devpost.md
Devpost - Devpost,Devpost Discussion Forum:,Devpost Discussion Forum: https://agentforcehackathon.devpost.com/forum_topics,Devpost,Devpost,devpost.md
Devpost - Rules,Official Hackathon Rules and Translations:,Official Hackathon Rules and Translations: https://agentforcehackathon.devpost.com/rules,Devpost,Rules,devpost.md
Hackathon Submission - Submission,"Ensure your submission demonstrates the problem you're solving, the technology applied, and the impact.","Ensure your submission demonstrates the problem you're solving, the technology applied, and the impact.",Hackathon Submission,Submission,hackathon_submission.md
Hackathon Submission - Demo Tips,"Your demo video should clearly showcase your use case, features, and technical approach.","Your demo video should clearly showcase your use case, features, and technical approach.",Hackathon Submission,Demo Tips,hackathon_submission.md
Hackathon Submission - Demo Tips,Use screen recording tools like Quicktime or Camtasia. Avoid watermark tools. Record at 1080p resolution.,Use screen recording tools like Quicktime or Camtasia. Avoid watermark tools. Record at 1080p resolution.,Hackathon Submission,Demo Tips,hackathon_submission.md
Hackathon Submission - Demo Tips,Avoid generative AI audio/video tools in your demo. Focus on accessibility and clean presentation.,Avoid generative AI audio/video tools in your demo. Focus on accessibility and clean presentation.,Hackathon Submission,Demo Tips,hackathon_submission.md
Hackathon Tips - Team,"Organize a strong team with defined roles: leader, admin, developer, marketer, designer, analyst.","Organize a strong team with defined roles: leader, admin, developer, marketer, designer, analyst.",Hackathon Tips,Team,hackathon_tips.md
Hackathon Tips - Ideation,"Find a unique, real-world use case. Avoid generic ones like 'order management'.","Find a unique, real-world use case. Avoid generic ones like 'order management'.",Hackathon Tips,Ideation,hackathon_tips.md
Hackathon Tips - Design,"Design a thoughtful data model, agent actions, and required data for the use case.","Design a thoughtful data model, agent actions, and required data for the use case.",Hackathon Tips,Design,hackathon_tips.md
Hackathon Tips - Build,"Distribute tasks, use demo data, and polish the UI/UX for submission.","Distribute tasks, use demo data, and polish the UI/UX for submission.",Hackathon Tips,Build,hackathon_tips.md
Hackathon Tips - Prepare,"Craft a compelling story. Use optional slides to highlight value, features, and outcomes.","Craft a compelling story. Use optional slides to highlight value, features, and outcomes.",Hackathon Tips,Prepare,hackathon_tips.md
Architecture Overview - Architecture,"Agentforce system architecture includes Identity Mapping, Knowledge Base (RAG), AI Engine, Slack Bot, and Deployment module.","Agentforce system architecture includes Identity Mapping, Knowledge Base (RAG), AI Engine, Slack Bot, and Deployment module.",Architecture Overview,Architecture,architecture_discussion.md
Slack Integration - Slack Integration,"Slack bot receives /ask command, retrieves user context via Devpost ID, queries the knowledge base, and sends result back to Slack.","Slack bot receives /ask command, retrieves user context via Devpost ID, queries the knowledge base, and sends result back to Slack.",Slack Integration,Slack Integration,architecture_discussion.md
Agentforce - Agentforce,Knowledge base includes chunked markdown files stored in Data Cloud. Search Index is used by the Agentforce Retriever to find relevant data.,Knowledge base includes chunked markdown files stored in Data Cloud. Search Index is used by the Agentforce Retriever to find relevant data.,Agentforce,Agentforce,architecture_discussion.md
Agentforce - Agentforce,Agentforce uses Prompt Template and GPT-4 to combine retrieved context with user question for accurate answers.,Agentforce uses Prompt Template and GPT-4 to combine retrieved context with user question for accurate answers.,Agentforce,Agentforce,architecture_discussion.md
Agentforce - Architecture,"Data Retriever module connects to Data Cloud Search Index, retrieves context chunks and sends them into LLM prompt pipeline.","Data Retriever module connects to Data Cloud Search Index, retrieves context chunks and sends them into LLM prompt pipeline.",Agentforce,Architecture,architecture_discussion.md
