id,chunk,topic,tag,source
ba56452b,"Agentforce NOW Workshop: March 20, 2025 / 10am - 12pm EST",Devpost,Workshop,devpost.md
2c9225db,"Dive into short, informative how-to videos featuring out-of-the-box Agentforce use cases, features and capabilities.",Devpost,Agentforce,devpost.md
0e06428a,Agentforce Decoded for Developers: https://www.youtube.com/playlist?list=PLgIMQe2PKPSIELU1F09KPVyLF-V_N8jem,Devpost,Agentforce,devpost.md
6d20f782,Agentforce Decoded for Admins: https://www.youtube.com/playlist?list=PLrC_ei2_Pv0Fb0i4wufGZsVwMyNj5ticI,Devpost,Agentforce,devpost.md
7a1bb5fd,Join and get inspired by members of the Agentblazer Community: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,Devpost,Community,devpost.md
d740ca17,Discover use cases from the NYC Agentforce Hackathon: http://sforce.co/NYCHackUseCases,Devpost,Agentforce,devpost.md
5cb3862a,How Salesforce Shapes Ethical AI Standards in the Agent Era: https://www.salesforce.com/news/stories/responsible-agentic-ai-guidelines/,Devpost,Responsible AI,devpost.md
6f0b841b,"Trailhead: Salesforce Platform Basics, Platform Development Basics, Get Started with Salesforce Development",Devpost,Resources,devpost.md
01576b2e,Hackathon Resource Guide: http://sforce.co/VirtualHackathonGuide,Devpost,Resources,devpost.md
0ca11870,Org Access Form: https://forms.gle/KFVfJncxJzeb4yoZ9,Devpost,Admin,devpost.md
eb13dd53,Quick Start with Agentforce: https://trailhead.salesforce.com/content/learn/projects/quick-start-build-your-first-agent-with-agentforce,Devpost,Tutorial,devpost.md
20695e9a,Data Cloud Developer Center: https://developer.salesforce.com/developer-centers/data-cloud,Devpost,Data Cloud,devpost.md
9301b2be,RAG in Data Cloud overview: https://help.salesforce.com/s/articleView?id=sf.c360_a_rag_overview.htm,Devpost,RAG,devpost.md
7ab04d4f,The Coral Cloud Sample App: https://github.com/trailheadapps/coral-cloud,Devpost,Architecture,devpost.md
c665f172,Connect your Agentforce Org with Slack: http://sforce.co/CYAOWSvh,Devpost,Slack Integration,devpost.md
de50f626,Join the Agentbuilder Slack Workspace and the Virtual Hackathon channel,Devpost,Community,devpost.md
83e24548,Agentblazer Community Group: https://trailhead.salesforce.com/trailblazer-community/groups/0F94V0000002E89,Devpost,Community,devpost.md
f66110a2,Devpost Discussion Forum: https://agentforcehackathon.devpost.com/forum_topics,Devpost,Devpost,devpost.md
e8ba6b84,Official Hackathon Rules and Translations: https://agentforcehackathon.devpost.com/rules,Devpost,Rules,devpost.md
dc32b116,"Ensure your submission demonstrates the problem you're solving, the technology applied, and the impact.",Hackathon Submission,Submission,hackathon_submission.md
c4e2c224,"Your demo video should clearly showcase your use case, features, and technical approach.",Hackathon Submission,Demo Tips,hackathon_submission.md
36c012ce,Use screen recording tools like Quicktime or Camtasia. Avoid watermark tools. Record at 1080p resolution.,Hackathon Submission,Demo Tips,hackathon_submission.md
cf1198a5,Avoid generative AI audio/video tools in your demo. Focus on accessibility and clean presentation.,Hackathon Submission,Demo Tips,hackathon_submission.md
3197cb66,"Organize a strong team with defined roles: leader, admin, developer, marketer, designer, analyst.",Hackathon Tips,Team,hackathon_tips.md
e0b085bf,"Find a unique, real-world use case. Avoid generic ones like 'order management'.",Hackathon Tips,Ideation,hackathon_tips.md
7dad6d7f,"Design a thoughtful data model, agent actions, and required data for the use case.",Hackathon Tips,Design,hackathon_tips.md
40a25935,"Distribute tasks, use demo data, and polish the UI/UX for submission.",Hackathon Tips,Build,hackathon_tips.md
ed917582,"Craft a compelling story. Use optional slides to highlight value, features, and outcomes.",Hackathon Tips,Prepare,hackathon_tips.md
